"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-18","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-19","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-20","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-21","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-22","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-23","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-24","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-25","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-26","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-27","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-02-28","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-01","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-02","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-03","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-04","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-05","0.04",",,N",,
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-06","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-07","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-08","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-09","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-10","0.00","T,,N",,
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-11","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-12","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-13","0.00",",,N","0.0",",,N"
"US1CASD0030","LA JOLLA 2.1 SE, CA US","32.8257","-117.2501","149.7","2009-03-14","0.00",",,N","0.0",",,N"
