"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2008-12","112.4",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-01","6.9",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-02","72.6",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-03","6.1",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-04","1.8",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-05","4.3",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-06","5.1",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-07","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-08","0.5",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-09","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-10","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2009-11","9.7",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-01","145.6",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-02","78.7",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-03","19.4",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-04","51.8",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-05","0.8",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-06","0.8",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-07","1.6",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-08","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-09","1.6",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-11","30.2",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2010-12","163.4",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-01","26.1",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-02","37.1","1,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-03","43.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-04","5.9",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-05","21.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-06","1.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-07","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-08","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-09","2.3",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-10","0.0","2,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-11","37.6","3,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2011-12","27.2",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-01","14.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-02","40.4","1,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-03","28.9","2,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-04","39.1",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-05","0.5",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-06","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-07","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-08","0.0","2,,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-09","0.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-10","31.3",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-11","7.0",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2012-12","90.8",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2013-01","35.4",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2013-02","12.2",",,,N"
"US1CASD0015","LA JOLLA 2.5SE, CA US","32.8254","-117.2397","154.8","2013-03","5.1","1,,,N"
